wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date
2020-03-03,Pennsylvania,0,0,185536,0,0,PA,0,0,NA,NA,NA,NA,NA
2020-03-03,Rhode Island,0,2,151337,0,0,RI,9,8.52143614603848e-6,NA,NA,NA,NA,NA
2020-03-03,Texas,0,0,113265,0,0,TX,6,2.0358098960719047e-7,NA,NA,NA,NA,NA
2020-03-03,Vermont,0,0,38999,0,0,VT,0,0,NA,NA,NA,NA,NA
2020-03-03,Virginia,0,0,63226,0,0,VA,38687,0.004484820100600379,NA,NA,NA,NA,NA
2020-03-03,Washington,6,21,185729,3.2305132747174645e-5,3.2305132747174645e-5,WA,995,1.2761154788318733e-4,NA,NA,NA,NA,NA
2020-03-03,Wisconsin,0,0,78681,0,0,WI,7,1.1962233519887214e-6,NA,NA,NA,NA,NA
2020-03-03,Wyoming,0,0,23150,0,0,WY,3,5.290772011816057e-6,NA,NA,NA,NA,NA
2020-03-10,Alabama,0,0,71060,0,0,AL,0,0,NA,NA,NA,NA,NA
2020-03-10,Alaska,0,0,22454,0,0,AK,80,1.0899152863343697e-4,NA,NA,NA,NA,NA
2020-03-10,Arizona,0,3,428159,0,0,AZ,792,1.0733903549371213e-4,NA,NA,NA,NA,NA
2020-03-10,Arkansas,0,0,39192,0,0,AR,42,1.3820335636722606e-5,NA,NA,NA,NA,NA
2020-03-10,California,1,43,658537,1.5185175624148682e-6,1.5185175624148682e-6,CA,4260,1.0666666666666667e-4,NA,NA,NA,NA,NA
2020-03-10,Colorado,0,4,87253,0,0,CO,0,0,NA,NA,NA,NA,NA
2020-03-10,Connecticut,0,1,356528,0,0,CT,552,1.549221460085095e-4,NA,NA,NA,NA,NA
2020-03-10,Delaware,0,0,194752,0,0,DE,0,0,NA,NA,NA,NA,NA
2020-03-10,District of Columbia,0,0,235249,0,0,DC,70,9.918540444265595e-5,NA,NA,NA,NA,NA
2020-03-10,Florida,1,4,311271,3.212634649549749e-6,3.212634649549749e-6,FL,0,0,NA,NA,NA,NA,NA
2020-03-10,Georgia,0,5,65946,0,0,GA,35,3.260029247119531e-6,NA,NA,NA,NA,NA
